,t,i,j,k,v,q
32505,2021,24,12,400950,0.257,        0.072
32506,2021,24,12,841459,0.191,        0.001
32507,2021,24,12,847193,1.278,        0.002
48785,2021,31,12,121190,6.9,       23.000
48786,2021,31,12,392690,0.087,           NA
48787,2021,31,12,843139,1.575,        0.005
48788,2021,31,12,848190,0.896,        0.002
58365,2021,32,12,30378,225.27,      162.783
58366,2021,32,12,40221,343787.3,    99865.880
58367,2021,32,12,71333,34622.009,    34720.790
58368,2021,32,12,100190,64582.348,   236033.500
58369,2021,32,12,100590,547246.112,  2591985.000
58370,2021,32,12,120220,17112.219,    13184.030
58371,2021,32,12,150710,69403.6,    56700.000
58372,2021,32,12,230400,82966.565,   208872.700
95726,2021,36,12,40500,1821.562,      352.800
95727,2021,36,12,210610,17.331,        0.745
95728,2021,36,12,230990,316.787,       80.000
95729,2021,36,12,300640,343.584,        1.057
95730,2021,36,12,330610,12.801,        0.256
95731,2021,36,12,330690,87.757,        9.775
95732,2021,36,12,340220,302.729,       10.820
95733,2021,36,12,350400,131.369,       17.182
95734,2021,36,12,350691,20.531,        0.044
95735,2021,36,12,420229,0.045,        0.380
95736,2021,36,12,491110,0.115,        0.016
95737,2021,36,12,611790,3.005,        0.040
95738,2021,36,12,700992,0.001,           NA
95739,2021,36,12,732690,0.068,        0.008
95740,2021,36,12,843890,350.586,        5.216
95741,2021,36,12,847989,2.197,        0.057
95742,2021,36,12,848310,13.506,        0.722
95743,2021,36,12,848320,17.617,        0.860
95744,2021,36,12,850440,0.067,        0.001
95745,2021,36,12,852520,2.667,        0.003
95746,2021,36,12,853290,66.914,        1.608
95747,2021,36,12,854420,1.855,        0.053
95748,2021,36,12,854441,0.02,        0.008
95749,2021,36,12,870810,244.469,       10.519
95750,2021,36,12,901849,107.044,        0.276
95751,2021,36,12,901850,171.435,        0.392
95752,2021,36,12,940290,6.256,        0.249
227445,2021,40,12,40900,0.034,        0.001
227446,2021,40,12,80290,0.018,        0.002
227447,2021,40,12,90112,0.007,        0.001
227448,2021,40,12,90121,0.077,        0.001
227449,2021,40,12,90130,0.04,        0.002
227450,2021,40,12,90420,0.035,        0.007
227451,2021,40,12,110412,0.04,        0.002
227452,2021,40,12,120810,677.322,      713.000
227453,2021,40,12,130231,0.432,        0.003
227454,2021,40,12,130232,5.481,        0.805
227455,2021,40,12,130239,5.098,        0.748
227456,2021,40,12,151319,0.004,        0.001
227457,2021,40,12,170290,1393.276,      452.500
227458,2021,40,12,170410,0.012,        0.001
227459,2021,40,12,170490,0.004,        0.001
227460,2021,40,12,180690,0.439,        0.030
227461,2021,40,12,190530,0.006,        0.002
227462,2021,40,12,200520,0.011,        0.003
227463,2021,40,12,200960,5.834,        2.215
227464,2021,40,12,210120,0.118,        0.003
227465,2021,40,12,210390,275.239,       55.850
227466,2021,40,12,210690,2434.341,      263.742
227467,2021,40,12,220210,818.072,      336.328
227468,2021,40,12,220290,85.674,      100.235
227469,2021,40,12,220421,2.339,        0.122
227470,2021,40,12,230910,0.004,        0.002
227471,2021,40,12,230990,194.33,       60.340
227472,2021,40,12,271000,0.734,        0.709
227473,2021,40,12,282720,0.028,        0.016
227474,2021,40,12,282732,0.167,        0.001
227475,2021,40,12,283321,0.059,        0.085
227476,2021,40,12,283329,0.044,        0.404
227477,2021,40,12,283421,0.044,        0.018
227478,2021,40,12,283524,0.084,        0.019
227479,2021,40,12,284440,3.187,           NA
227480,2021,40,12,284590,6.395,        0.018
227481,2021,40,12,285100,0.344,        0.001
227482,2021,40,12,290110,0.09,        0.113
227483,2021,40,12,290490,0.965,        0.119
227484,2021,40,12,291829,14.214,        1.350
227485,2021,40,12,293100,1.288,        0.175
227486,2021,40,12,293629,0.064,        0.001
227487,2021,40,12,300210,17008.036,       45.611
227488,2021,40,12,300390,0.089,        0.144
227489,2021,40,12,300439,962.269,        0.988
227490,2021,40,12,300490,75.812,        0.477
227491,2021,40,12,300590,0.041,        0.003
227492,2021,40,12,300610,254.762,        0.412
227493,2021,40,12,320411,51.536,        6.636
